Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,0,112580;121752,JPN,M,MORIZONO Masataka/OSHIMA Yuya,2405,0,0,12,2018
2,0,104257;105197,KOR,M,JEOUNG Youngsik/LEE Sangsu,2285,0,0,12,2018
3,0,112620;123690,HKG,M,HO Kwan Kit/WONG Chun Ting,1835,0,0,12,2018
4,0,119565;121582,TPE,M,LIAO Cheng-Ting/LIN Yun-Ju,1345,0,0,12,2018
5,0,102832;112409,MIX,M,FRANZISKA Patrick/GROTH Jonathan,1305,0,0,12,2018
6,0,114936;117357,KOR,M,JANG Woojin/LIM Jonghoon,1135,0,0,12,2018
7,0,104379;112074,SWE,M,FALCK Mattias/KARLSSON Kristian,1115,0,0,12,2018
8,0,110267;121404,CHN,M,FAN Zhendong/XU Xin,1100,0,0,12,2018
9,0,105649;110267,CHN,M,MA Long/XU Xin,990,0,0,12,2018
10,0,101648;101820,TPE,M,CHEN Chien-An/CHUANG Chih-Yuan,875,0,0,12,2018
11,0,114716;114717,HUN,M,ECSEKI Nandor/SZUDI Adam,825,0,0,12,2018
12,0,115910;121404,CHN,M,FAN Zhendong/LIN Gaoyuan,770,0,0,12,2018
13,0,102761;109946,GER,M,FILUS Ruwen/WALTHER Ricardo,755,0,0,12,2018
14,0,102968;103345,AUT,M,GARDOS Robert/HABESOHN Daniel,690,0,0,12,2018
15,0,115546;131983,HKG,M,LAM Siu Hang/NG Pak Nam,665,0,0,12,2018
16,0,103903;111050,MIX,M,IONESCU Ovidiu/ROBLES Alvaro,645,0,0,12,2018
17,0,119794;123980,JPN,M,HARIMOTO Tomokazu/KIZUKURI Yuto,595,0,0,12,2018
18,0,119284;121514,KOR,M,AN Jaehyun/CHO Seungmin,545,0,0,12,2018
19,0,114709;114848,BEL,M,ALLEGRO Martin/LAMBIET Florent,520,0,0,12,2018
20,0,107456;108246,BLR,M,PLATONOV Pavel/SAMSONOV Vladimir,510,0,0,12,2018
21,0,110729;117113,JPN,M,NIWA Koki/YOSHIMURA Maharu,495,0,0,12,2018
22,0,102943;111669,SGP,M,GAO Ning/PANG Xue Jie,470,0,0,12,2018
22,0,103126;104314,IND,M,ACHANTA Sharath Kamal/GNANASEKARAN Sathiyan,470,0,0,12,2018
24,0,114838;120154,POL,M,BADOWSKI Marek/ZATOWKA Patryk,445,0,0,12,2018
25,0,102380;112442,ENG,M,DRINKHALL Paul/PITCHFORD Liam,420,0,0,12,2018
26,0,110730;117113,JPN,M,UEDA Jin/YOSHIMURA Maharu,415,0,0,12,2018
27,0,106195;121752,JPN,M,MIZUTANI Jun/OSHIMA Yuya,400,0,0,12,2018
27,0,113419;117312,BRA,M,ISHIY Vitor/JOUTI Eric,400,0,0,12,2018
29,0,110729;110730,JPN,M,NIWA Koki/UEDA Jin,385,0,0,12,2018
30,0,131375;134316,JPN,M,SONE Kakeru/TANAKA Yuta,380,0,0,12,2018
31,0,106814;113317,BEL,M,DEVOS Robin/NUYTINCK Cedric,375,0,0,12,2018
32,0,108581;108742,RUS,M,SHIBAEV Alexander/SKACHKOV Kirill,345,0,0,12,2018
33,0,119532;121404,CHN,M,FAN Zhendong/YU Ziyang,330,0,0,12,2018
33,0,114460;117797,AUS,M,HU Heming/YAN Xin ^,330,0,0,12,2018
33,0,111959;116723,EGY,M,ABDEL-AZIZ Youssef/ASSAR Khalid,330,0,0,12,2018
36,0,109140;121042,ROU,M,PLETEA Cristian/SZOCS Hunor,320,0,0,12,2018
37,0,101648;119565,TPE,M,CHEN Chien-An/LIAO Cheng-Ting,315,0,0,12,2018
38,0,100001;108574,IND,M,ANTHONY Amalraj/SHETTY Sanil,300,0,0,12,2018
39,0,119585;120168,TUR,M,GUNDUZ Ibrahim/YIGENLER Abdullah,280,0,0,12,2018
40,0,111115;113450,PAR,M,AGUIRRE Marcelo/TORANZOS Alejandro,270,0,0,12,2018
40,0,109581;113419,BRA,M,JOUTI Eric/TSUBOI Gustavo,270,0,0,12,2018
40,0,113689;117002,FRA,M,ROBINOT Alexandre/SEYFRIED Joe,270,0,0,12,2018
43,0,101747;116818,KOR,M,CHO Eonrae/KIM Minhyeok,265,0,0,12,2018
44,0,112580;123980,JPN,M,HARIMOTO Tomokazu/MORIZONO Masataka,260,0,0,12,2018
45,0,115866;120947,THA,M,TANVIRIYAVECHAKUL Padasak/WISUTMAYTHANGKOON Supanut,250,0,0,12,2018
46,0,111606;118761,CHN,M,FANG Bo/ZHOU Yu,240,0,0,12,2018
46,0,112062;115641,MIX,M,CALDERANO Hugo/GAUZY Simon,240,0,0,12,2018
46,0,111286;111287,AUS,M,POWELL David/TOWNSEND Kane,240,0,0,12,2018
46,0,117345;119588,CHN,M,LIANG Jingkun/ZHOU Kai,240,0,0,12,2018
46,0,100439;102486,EGY,M,EL-BEIALI Mohamed/SALEH Ahmed,240,0,0,12,2018
51,0,109499;112092,NGR,M,ARUNA Quadri/TORIOLA Segun,225,0,0,12,2018
52,0,104128;115546,HKG,M,JIANG Tianyi/LAM Siu Hang,220,0,0,12,2018
52,0,101648;101711,TPE,M,CHEN Chien-An/CHIANG Hung-Chieh,220,0,0,12,2018
52,0,102486;111959,EGY,M,ASSAR Khalid/EL-BEIALI Mohamed,220,0,0,12,2018
52,0,106814;113165,MIX,M,KOU Lei/NUYTINCK Cedric,220,0,0,12,2018
52,0,111606;115910,CHN,M,FANG Bo/LIN Gaoyuan,220,0,0,12,2018
52,0,116530;131169,GER,M,HIPPLER Tobias/ORT Kilian,220,0,0,12,2018
52,0,121591;122877,CHN,M,JI Jiale/LIU Yebo,220,0,0,12,2018
52,0,106814;112436,MIX,M,NUYTINCK Cedric/ROBINOT Quentin,220,0,0,12,2018
52,0,121412;121558,CHN,M,WANG Chuqin/XUE Fei,220,0,0,12,2018
52,0,105197;115927,MIX,M,LEE Sangsu/PAK Sin Hyok,220,0,0,12,2018
62,0,100486;119316,ARG,M,ALTO Gaston/CIFUENTES Horacio,195,0,0,12,2018
62,0,111512;115000,PUR,M,AFANADOR Brian/GONZALEZ Daniel,195,0,0,12,2018
62,0,114860;115029,MIX,M,LIND Anders/MAJOROS Bence,195,0,0,12,2018
65,0,111050;113931,MIX,M,DYJAS Jakub/ROBLES Alvaro,190,0,0,12,2018
66,0,110673;112035,IRI,M,ALAMIAN Nima/ALAMIYAN Noshad,180,0,0,12,2018
66,0,108146;110669,IND,M,MONDAL Raj/SAHA Sourav,180,0,0,12,2018
66,0,119873;119877,TPE,M,PENG Wang-Wei/SUN Chia-Hung,180,0,0,12,2018
66,0,102832;109946,GER,M,FRANZISKA Patrick/WALTHER Ricardo,180,0,0,12,2018
70,0,104036;114960,CZE,M,JANCARIK Lubomir/REITSPIES David,175,0,0,12,2018
70,0,114715;116620,GER,M,DUDA Benedikt/QIU Dang,175,0,0,12,2018
72,0,103070;111641,IND,M,DESAI Harmeet/GHOSH Soumyajit,170,0,0,12,2018
72,0,113376;115118,KSA,M,ALKHADRAWI Ali/BU SHULAYBI Abdulaziz,170,0,0,12,2018
72,0,115927;115928,PRK,M,CHOE Il/PAK Sin Hyok,170,0,0,12,2018
72,0,102697;106296,MIX,M,FEGERL Stefan/MONTEIRO Joao,170,0,0,12,2018
76,0,117027;120698,NZL,M,DELA PENA Alfred/SHU Dean,165,0,0,12,2018
76,0,101039;133613,PYF,M,BELROSE Alize/CARNET Bydhir,165,0,0,12,2018
76,0,103037;107312,SWE,M,GERELL Par/PERSSON Jon,165,0,0,12,2018
76,0,113472;117950,CIV,M,ALI Kanate/OBA Oba Kizito,165,0,0,12,2018
76,0,116853;122044,SWE,M,KALLBERG Anton/MOREGARD Truls,165,0,0,12,2018
81,0,109865;124576,RUS,M,SIDORENKO Vladimir/VLASOV Grigory,160,0,0,12,2018
81,0,108574;111641,IND,M,DESAI Harmeet/SHETTY Sanil,160,0,0,12,2018
81,0,103126;108574,IND,M,GNANASEKARAN Sathiyan/SHETTY Sanil,160,0,0,12,2018
81,0,132880;132883,PRK,M,HAM Yu Song/KIM Song Gun,160,0,0,12,2018
81,0,110726;113329,MIX,M,LAKATOS Tamas/OLAH Benedek,160,0,0,12,2018
81,0,113165;119737,MIX,M,KOU Lei/WEI Shihao ^^,160,0,0,12,2018
87,0,111683;116424,CHI,M,GOMEZ Gustavo/LAMADRID Juan,155,0,0,12,2018
88,0,119037;123023,BEL,M,CNUDDE Florian/DARCIS Thibaut,150,0,0,12,2018
88,0,110726;113317,MIX,M,DEVOS Robin/OLAH Benedek,150,0,0,12,2018
90,0,105136;117003,FRA,M,CASSIN Alexandre/LEBESSON Emmanuel,140,0,0,12,2018
90,0,113059;119588,CHN,M,LIANG Jingkun/YAN An,140,0,0,12,2018
90,0,121404;121558,CHN,M,FAN Zhendong/WANG Chuqin,140,0,0,12,2018
93,0,105679;118009,MEX,M,MADRID Marcos/VILLA Ricardo,135,0,0,12,2018
94,0,115874;121474,MAS,M,HAIQAL Muhamad Ashraf/LEONG Chee Feng,130,0,0,12,2018
94,0,109546;113243,CZE,M,SIRUCEK Pavel/TREGLER Tomas,130,0,0,12,2018
94,0,115545;115548,HKG,M,KWAN Man Ho/LI Hon Ming,130,0,0,12,2018
94,0,113317;122001,BEL,M,DEVOS Laurens/DEVOS Robin,130,0,0,12,2018
94,0,113914;113916,AUT,M,CHEN Alexander/PFEFFER Simon,130,0,0,12,2018
99,0,109581;115641,BRA,M,CALDERANO Hugo/TSUBOI Gustavo,120,0,0,12,2018
99,0,103202;113931,POL,M,DYJAS Jakub/GORAK Daniel,120,0,0,12,2018
99,0,101222;105649,MIX,M,BOLL Timo/MA Long,120,0,0,12,2018
99,0,103037;116853,SWE,M,GERELL Par/KALLBERG Anton,120,0,0,12,2018
99,0,117862;120074,LUX,M,GLOD Eric/MLADENOVIC Luka,120,0,0,12,2018
99,0,112284;114718,ENG,M,MCBEATH David/WALKER Samuel,120,0,0,12,2018
99,0,112445;112446,FRA,M,BROSSIER Benjamin/HACHARD Antoine,120,0,0,12,2018
99,0,119850;133717,KOR,M,BAEK Hogyun/KIM Daewoo,120,0,0,12,2018
107,0,118665;120300,AUT,M,GRININGER Thomas/SERDAROGLU David,110,0,0,12,2018
107,0,123690;131983,HKG,M,HO Kwan Kit/NG Pak Nam,110,0,0,12,2018
107,0,112073;115063,SWE,M,BERGLUND Simon/BRODD Viktor,110,0,0,12,2018
107,0,109946;116620,GER,M,DUDA Benedikt/WALTHER Ricardo,110,0,0,12,2018
107,0,111020;114856,FRA,M,LANDRIEU Andrea/LORENTZ Romain,110,0,0,12,2018
107,0,112580;113340,JPN,M,MORIZONO Masataka/TAZOE Kenta,110,0,0,12,2018
107,0,111641;123682,IND,M,DESAI Harmeet/THAKKAR Manav Vikash,110,0,0,12,2018
107,0,131155;132239,PRK,M,KIM Hyong Jin/KIM Ok Chan ^^,110,0,0,12,2018
107,0,106298;119316,MIX,M,CIFUENTES Horacio/MONTEIRO Thiago,110,0,0,12,2018
107,0,112860;117032,IND,M,GANDHI Sarthak/YADAV Abhishek,110,0,0,12,2018
107,0,105679;111115,MIX,M,AGUIRRE Marcelo/MADRID Marcos,110,0,0,12,2018
107,0,110888;114410,SWE,M,ARVIDSSON Simon/RANEFUR Elias,110,0,0,12,2018
119,0,105197;114936,KOR,M,JANG Woojin/LEE Sangsu,105,0,0,12,2018
119,0,121015;123935,FIJ,M,WING Philip/WU Vicky,105,0,0,12,2018
119,0,115011;117887,CHN,M,ZHENG Peifeng/ZHU Linfeng,105,0,0,12,2018
119,0,113893;113894,EGY,M,GHALLAB Aly/MAGDY Shady,105,0,0,12,2018
119,0,102789;110924,MRI,M,ARNACHELLUM Allan/CHAN YOOK FO Brian,105,0,0,12,2018
119,0,101879;107025,RSA,M,COGILL Theo/OVERMEYER Shane,105,0,0,12,2018
119,0,100079;113563,NGR,M,ABIODUN Bode/OMOTAYO Olajide,105,0,0,12,2018
119,0,105136;112062,FRA,M,GAUZY Simon/LEBESSON Emmanuel,105,0,0,12,2018
119,0,114718;118671,MIX,M,RASMUSSEN Tobias/WALKER Samuel,105,0,0,12,2018
119,0,106151;120896,ECU,M,MINO Alberto/RIOFRIO Emiliano,105,0,0,12,2018
119,0,116021;122426,USA,M,JHA Kanak/LIU Victor,105,0,0,12,2018
119,0,114936;132880,MIX,M,HAM Yu Song/JANG Woojin,105,0,0,12,2018
131,0,115791;134912,VIE,M,DOAN Ba Tuan Anh/NGUYEN Duc Tuan,100,0,0,12,2018
131,0,107456;114973,BLR,M,KHANIN Aliaksandr/PLATONOV Pavel,100,0,0,12,2018
133,0,105136;114355,FRA,M,FLORE Tristan/LEBESSON Emmanuel,90,0,0,12,2018
133,0,104795;116798,CZE,M,KONECNY Tomas/POLANSKY Tomas,90,0,0,12,2018
133,0,112950;112952,BUL,M,ALEXANDROV Teodor/KODJABASHEV Denislav,90,0,0,12,2018
136,0,109459;118927,SLO,M,JORGIC Darko/TOKIC Bojan,80,0,0,12,2018
136,0,116213;118072,ESP,M,FRANCO Carlos/VILCHEZ Miguel,80,0,0,12,2018
136,0,117001;120052,ESP,M,CABALLERO Carlos/MARTINEZ Guillermo,80,0,0,12,2018
136,0,107445;112442,MIX,M,PISTEJ Lubomir/PITCHFORD Liam,80,0,0,12,2018
136,0,102943;120318,SGP,M,GAO Ning/POH Shao Feng Ethan,80,0,0,12,2018
136,0,100982;104462,MIX,M,BAUM Patrick/KEINATH Thomas,80,0,0,12,2018
