Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,0,117821;123672,JPN,W,HAYATA Hina/ITO Mima,2520,0,0,12,2018
2,0,112368;118994,KOR,W,JEON Jihee/YANG Haeun,1850,0,0,12,2018
3,0,121403;131163,CHN,W,CHEN Xingtong/SUN Yingsha,1770,0,0,12,2018
4,0,122261;133000,JPN,W,HASHIMOTO Honoka/SATO Hitomi,1640,0,0,12,2018
5,0,105159;115543,HKG,W,DOO Hoi Kem/LEE Ho Ching,1445,0,0,12,2018
6,0,119789;121411,CHN,W,CHEN Ke/WANG Manyu,1325,0,0,12,2018
7,0,112019;117332,CHN,W,CHEN Meng/ZHU Yuling,1250,0,0,12,2018
8,0,106660;115037,HKG,W,NG Wing Nam/SOO Wai Yam Minnie,1195,0,0,12,2018
9,0,119531;123112,CHN,W,LIU Gaoyang/ZHANG Rui,1030,0,0,12,2018
10,0,100868;105913,MIX,W,BALAZOVA Barbora/MATELOVA Hana,955,0,0,12,2018
11,0,102472;107525,MIX,W,EKHOLM Matilda/POTA Georgina,890,0,0,12,2018
12,0,102079;115920,IND,W,BATRA Manika/DAS Mouma,850,0,0,12,2018
13,0,123848;133405,JPN,W,ODO Satsuki/SHIBATA Saki,780,0,0,12,2018
14,0,113300;114706,TPE,W,CHENG Hsien-Tzu/LIU Hsing-Yin,705,0,0,12,2018
15,0,102265;105482,CHN,W,DING Ning/LIU Shiwen,660,0,0,12,2018
16,0,103283;107177,POL,W,GRZYBOWSKA-FRANC Katarzyna/PARTYKA Natalia,620,0,0,12,2018
17,0,108226;111012,ROU,W,SAMARA Elizabeta/SZOCS Bernadette,615,0,0,12,2018
18,0,110752;117821,JPN,W,ISHIKAWA Kasumi/ITO Mima,600,0,0,12,2018
19,0,106706;112280,LUX,W,DE NUTTE Sarah/NI Xia Lian,565,0,0,12,2018
20,0,110752;117820,JPN,W,HIRANO Miu/ISHIKAWA Kasumi,480,0,0,12,2018
20,0,110227;112221,USA,W,WU Yue/ZHANG Lily,480,0,0,12,2018
22,0,102712;111628,SGP,W,FENG Tianwei/YU Mengyu,470,0,0,12,2018
22,0,108658;114726,GER,W,LANG Kristin/MITTELHAM Nina,470,0,0,12,2018
24,0,111065;111066,GER,W,SOLJA Petrissa/WINTER Sabine,465,0,0,12,2018
25,0,106788;107477,MIX,W,NOSKOVA Yana/POLCANOVA Sofia,450,0,0,12,2018
26,0,102265;117332,CHN,W,DING Ning/ZHU Yuling,440,0,0,12,2018
26,0,123232;132251,PRK,W,CHA Hyo Sim/KIM Nam Hae,440,0,0,12,2018
26,0,102265;112019,CHN,W,CHEN Meng/DING Ning,440,0,0,12,2018
29,0,111656;113908,EGY,W,HELMY Yousra/MESHREF Dina,430,0,0,12,2018
30,0,110797;114105,TPE,W,CHEN Szu-Yu/CHENG I-Ching,410,0,0,12,2018
31,0,107302;111213,HUN,W,MADARASZ Dora/PERGEL Szandra,390,0,0,12,2018
31,0,111833;120972,THA,W,PARANANG Orawan/SAWETTABUT Suthasini,390,0,0,12,2018
33,0,102427;111072,ESP,W,DVORAK Galia/XIAO Maria,340,0,0,12,2018
34,0,111772;111882,MIX,W,LI Jie/LI Qian,330,0,0,12,2018
34,0,101000;109272,AUS,W,BROMLEY Michelle/TAPPER Melissa,330,0,0,12,2018
34,0,111601;115760,CHN,W,GU Yuting/MU Zi,330,0,0,12,2018
34,0,117820;123672,JPN,W,HAYATA Hina/HIRANO Miu,330,0,0,12,2018
34,0,100032;115216,EGY,W,ABDEL-AZIZ Farah/EL-ERAKY Reem,330,0,0,12,2018
34,0,110560;120290,CAN,W,COTE Alicia/ZHANG Mo,330,0,0,12,2018
40,0,112357;116874,FRA,W,GASNIER Laura/ZARIF Audrey,320,0,0,12,2018
40,0,117332;121411,CHN,W,WANG Manyu/ZHU Yuling,320,0,0,12,2018
42,0,118786;131342,SGP,W,LIN Ye/ZENG Jian ^^,300,0,0,12,2018
42,0,131342;135286,MIX,W,SUN Jiayi ^/ZENG Jian ^^,300,0,0,12,2018
44,0,111416;114085,MIX,W,GALIC Alex/MORET Rachel,270,0,0,12,2018
45,0,124591;131036,JPN,W,KIHARA Miyuu/NAGASAKI Miyu,265,0,0,12,2018
46,0,112356;121688,FRA,W,GUISNEL Oceane/LOEUILLETTE Stephanie,260,0,0,12,2018
47,0,105482;121411,CHN,W,LIU Shiwen/WANG Manyu,240,0,0,12,2018
48,0,111012;117463,ROU,W,DIACONU Adina/SZOCS Bernadette,230,0,0,12,2018
49,0,107843;117899,PRK,W,RI Hyon Sim/RI Mi Gyong,225,0,0,12,2018
49,0,107477;110560,MIX,W,POLCANOVA Sofia/ZHANG Mo,225,0,0,12,2018
51,0,104793;115565,THA,W,KHETKHUAN Tamolwan/KOMWONG Nanthana,220,0,0,12,2018
51,0,111628;118787,SGP,W,YU Mengyu/ZHOU Yihan ^,220,0,0,12,2018
51,0,132186;136993,CHN,W,QI Fenjie/SUN Chen,220,0,0,12,2018
54,0,119789;124110,CHN,W,CHEN Ke/WANG Yidi,210,0,0,12,2018
54,0,115920;123684,IND,W,BATRA Manika/KAMATH Archana Girish,210,0,0,12,2018
56,0,102316;108226,ROU,W,MONTEIRO DODEAN Daniela/SAMARA Elizabeta,200,0,0,12,2018
56,0,111628;118786,SGP,W,LIN Ye/YU Mengyu,200,0,0,12,2018
58,0,103352;113701,MIX,W,CECHOVA Dana/EERLAND Britt,190,0,0,12,2018
59,0,108470;115781,MIX,W,KIM Song I/SUH Hyowon,185,0,0,12,2018
60,0,100868;102427,MIX,W,BALAZOVA Barbora/DVORAK Galia,180,0,0,12,2018
61,0,104923;113942,CZE,W,ADAMKOVA Karin/KUCEROVA Aneta,170,0,0,12,2018
62,0,104599;108470,KOR,W,KIM Kyungah/SUH Hyowon,165,0,0,12,2018
62,0,111066;114726,GER,W,MITTELHAM Nina/WINTER Sabine,165,0,0,12,2018
62,0,121017;123938,FIJ,W,YEE Grace Rosi/YEE Sally,165,0,0,12,2018
62,0,112086;123791,RSA,W,MOOKREY Simeen/PATEL Danisha,165,0,0,12,2018
62,0,115104;117142,ALG,W,KESSACI Katia/LOGHRAIBI Lynda,165,0,0,12,2018
62,0,110286;113420,BRA,W,GUI Lin/YAMADA Jessica,165,0,0,12,2018
62,0,111053;119109,ARG,W,ARGUELLES Camila/CODINA Ana,165,0,0,12,2018
69,0,106114;107221,MIX,W,MIKHAILOVA Polina/PAVLOVICH Viktoria,160,0,0,12,2018
